muestra_id,lago_id,nombre_lago,punto_id,duplicado_campo,fecha_local,hora_local,zona_horaria,lat_wgs84,lon_wgs84,profundidad_toma_m,profundidad_total_m,temperatura_c,conductividad_us_cm,ph,oxigeno_mg_l,oxigeno_pct,turbidez_valor,turbidez_unidad,operador,meteo,sonda_id,sonda_calibracion_hora,turbidimetro_id,turbidimetro_calibracion_hora,hora_filtrado,temperatura_transporte_c,volumen_total_ml,aliquotas_destinos,incidencias
L01-P1,L01,,P1,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L01-P2,L01,,P2,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L01-P3,L01,,P3,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L01-P2-DUP,L01,,P2,SI,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L02-P1,L02,,P1,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L02-P2,L02,,P2,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L02-P3,L02,,P3,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L02-P2-DUP,L02,,P2,SI,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L03-P1,L03,,P1,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L03-P2,L03,,P2,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L03-P3,L03,,P3,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L03-P2-DUP,L03,,P2,SI,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L04-P1,L04,,P1,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L04-P2,L04,,P2,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L04-P3,L04,,P3,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L04-P2-DUP,L04,,P2,SI,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L05-P1,L05,,P1,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L05-P2,L05,,P2,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L05-P3,L05,,P3,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L05-P2-DUP,L05,,P2,SI,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
