muestra_id,lago_id,fecha_medicion,hora_filtrado,filtro_um,color_visible_a440,longitud_camino_color_cm,equipo_color_id,a254_filtrada,longitud_camino_uv_cm,equipo_uv_id,turbidez_valor,turbidez_unidad,equipo_turbidez_id,incidencia_qc
L01-P1,L01,,,0.45,,,,,,,,,,
L01-P2,L01,,,0.45,,,,,,,,,,
L01-P3,L01,,,0.45,,,,,,,,,,
L02-P1,L02,,,0.45,,,,,,,,,,
L02-P2,L02,,,0.45,,,,,,,,,,
L02-P3,L02,,,0.45,,,,,,,,,,
L03-P1,L03,,,0.45,,,,,,,,,,
L03-P2,L03,,,0.45,,,,,,,,,,
L03-P3,L03,,,0.45,,,,,,,,,,
L04-P1,L04,,,0.45,,,,,,,,,,
L04-P2,L04,,,0.45,,,,,,,,,,
L04-P3,L04,,,0.45,,,,,,,,,,
L05-P1,L05,,,0.45,,,,,,,,,,
L05-P2,L05,,,0.45,,,,,,,,,,
L05-P3,L05,,,0.45,,,,,,,,,,
