assay_id,sample_id,lake_id,point_id,analyte,level_code,technical_duplicate,assay_date,native_read_time,c0_value,c0_unit,matrix_dilution,kit_manufacturer,kit_sku,kit_lot,kit_expiry,kit_lower_limit_mg_l,kit_upper_limit_mg_l,reported_species,kit_wavelength_nm,cuvette_mm,standard_lot,standard_concentration_mg_l,sample_volume_ml,stock_volume_ml,blank_volume_ml,final_volume_ml,actual_delta_mg_l,native_spectrum_time,native_spectrum_file,reagent_time,reacted_spectrum_time,reacted_spectrum_file,reaction_time_min,reaction_temperature_c,reagent_blank_value,certified_control_value,measured_control_value,reference_kit_value,reference_kit_unit,reference_time,operator,qc_note,native_blank_file,reacted_blank_file,filtered_045_um
L01-P1-orthophosphate-0,L01-P1,L01,P1,orthophosphate,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P1-orthophosphate-2L,L01-P1,L01,P1,orthophosphate,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P1-orthophosphate-5L,L01-P1,L01,P1,orthophosphate,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P1-orthophosphate-10L,L01-P1,L01,P1,orthophosphate,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P1-ammonium-0,L01-P1,L01,P1,ammonium,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P1-ammonium-2L,L01-P1,L01,P1,ammonium,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P1-ammonium-5L,L01-P1,L01,P1,ammonium,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P1-ammonium-10L,L01-P1,L01,P1,ammonium,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P1-nitrite-0,L01-P1,L01,P1,nitrite,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P1-nitrite-2L,L01-P1,L01,P1,nitrite,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P1-nitrite-5L,L01-P1,L01,P1,nitrite,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P1-nitrite-10L,L01-P1,L01,P1,nitrite,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01-P2-orthophosphate-0,L01-P2,L01,P2,orthophosphate,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
