sample_id,lake_id,lake_name,point_id,field_duplicate,local_date,local_time,time_zone,lat_wgs84,lon_wgs84,collection_depth_m,total_depth_m,temperature_c,conductivity_us_cm,ph,dissolved_oxygen_mg_l,dissolved_oxygen_pct,turbidity_value,turbidity_unit,operator,weather,probe_id,probe_calibration_time,turbidimeter_id,turbidimeter_calibration_time,filtration_time,transport_temperature_c,total_volume_ml,aliquot_destinations,notes
L01-P1,L01,,P1,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L01-P2,L01,,P2,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L01-P3,L01,,P3,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L01-P2-DUP,L01,,P2,YES,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L02-P1,L02,,P1,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L02-P2,L02,,P2,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L02-P3,L02,,P3,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L02-P2-DUP,L02,,P2,YES,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L03-P1,L03,,P1,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L03-P2,L03,,P2,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L03-P3,L03,,P3,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L03-P2-DUP,L03,,P2,YES,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L04-P1,L04,,P1,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L04-P2,L04,,P2,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L04-P3,L04,,P3,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L04-P2-DUP,L04,,P2,YES,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L05-P1,L05,,P1,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L05-P2,L05,,P2,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L05-P3,L05,,P3,NO,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
L05-P2-DUP,L05,,P2,YES,,,Europe/Brussels,,,,,,,,,,,,,,,,,,,,,,
