sample_id,lake_id,measurement_date,filtration_time,filter_um,visible_colour_a440,colour_path_length_cm,colour_instrument_id,filtered_a254,uv_path_length_cm,uv_instrument_id,turbidity_value,turbidity_unit,turbidity_instrument_id,qc_note
L01-P1,L01,,,0.45,,,,,,,,,,
L01-P2,L01,,,0.45,,,,,,,,,,
L01-P3,L01,,,0.45,,,,,,,,,,
L02-P1,L02,,,0.45,,,,,,,,,,
L02-P2,L02,,,0.45,,,,,,,,,,
L02-P3,L02,,,0.45,,,,,,,,,,
L03-P1,L03,,,0.45,,,,,,,,,,
L03-P2,L03,,,0.45,,,,,,,,,,
L03-P3,L03,,,0.45,,,,,,,,,,
L04-P1,L04,,,0.45,,,,,,,,,,
L04-P2,L04,,,0.45,,,,,,,,,,
L04-P3,L04,,,0.45,,,,,,,,,,
L05-P1,L05,,,0.45,,,,,,,,,,
L05-P2,L05,,,0.45,,,,,,,,,,
L05-P3,L05,,,0.45,,,,,,,,,,
